Model,Accuracy,Macro F1,Weighted F1
KNN (k=1),0.4736140724946695,0.1492561149965908,0.473405546170825
Random Forest (n=300),0.6148720682302772,0.15443382594722752,0.5816840811957805
Gradient Boosting,0.6202025586353944,0.1432910206495112,0.5847807609710695
XGBoost,0.7302771855010661,0.1963408887192695,0.7055880598675252
