Model,Accuracy,Macro F1,Weighted F1
KNN (k=1),0.6466666666666666,0.6360835830842936,0.6360835830842936
Random Forest (n=300),0.846,0.8399266235054904,0.8399266235054903
Gradient Boosting,0.854,0.8472803798598051,0.8472803798598052
XGBoost,0.94,0.9384136235654521,0.9384136235654523
