Model,Accuracy,Macro F1,Weighted F1
KNN (k=1),0.4985466666666667,0.2521067900056435,0.49857534510689727
Random Forest (n=300),0.7563333333333333,0.22799923314995008,0.7278903509522631
Gradient Boosting,0.62124,0.22499711007117412,0.5850831884372274
XGBoost,0.8070933333333333,0.32803612752891403,0.7824673512250085
