Model,Accuracy,Macro F1,Weighted F1
KNN (k=1),0.648,0.6394891871306909,0.6361701286456066
Random Forest (n=300),0.842,0.8366341834238392,0.8356107443430305
Gradient Boosting,0.8126666666666666,0.8033803835960793,0.8021174830877139
XGBoost,0.9446666666666667,0.9436031943412138,0.9432149454425526
